id,category,severity,rule,do,dont,good_code,bad_code,why,source
1,Accessibility,critical,Text contrast,Body text must hit 4.5:1 against its background (3:1 for >=24px or bold >=19px),Ship gray-on-gray below 4.5:1,color: #1a1a1a on #ffffff,color: #999 on #fff,Low contrast text is unreadable for low vision users and in bright light.,WCAG 2.2
2,Accessibility,critical,Visible focus,Keep a visible focus indicator on every interactive element,Remove the focus outline with no replacement,:focus-visible { outline: 2px solid currentColor; outline-offset: 2px; },*:focus { outline: none; },Keyboard users need to see which control has focus.,WCAG 2.2
3,Accessibility,critical,Icon-only buttons,Give icon-only controls an accessible name,Ship an icon button with no label,"<button aria-label=""Close""><svg ...></button>",<button><svg ...></button>,A screen reader announces nothing for an unlabeled icon button.,WCAG 2.2
4,Accessibility,critical,Image alt text,Describe meaningful images; mark decorative ones empty,Omit the alt attribute,"<img src=""chart.png"" alt=""Revenue up 12% in Q3"">","<img src=""chart.png"">",Screen readers and broken-image fallbacks depend on alt text.,WCAG 2.2
5,Accessibility,critical,Color is not the only signal,Pair color with text or an icon to convey state,Convey success or error by color alone,"<span class=""err"">! Invalid email</span>","<span style=""color:red""></span>",Color blind users miss state that is shown by color alone.,WCAG 2.2
6,Accessibility,important,Heading order,Use one h1 and never skip heading levels,Jump from h2 to h4 for styling,<h2>Section</h2><h3>Subsection</h3>,<h2>Section</h2><h4>Subsection</h4>,Assistive tech builds the document outline from heading levels.,WCAG 2.2
7,Accessibility,important,Form labels,Associate every input with a real label,Use a placeholder as the only label,"<label for=""email"">Email</label><input id=""email"">","<input placeholder=""Email"">",A placeholder vanishes on input and is not a label for assistive tech.,WCAG 2.2
8,Touch,critical,Target size,Make tap targets at least 44x44px,Ship 24px tap targets on mobile,min-height: 44px; min-width: 44px;,height: 24px; width: 24px;,Small targets are hard to hit on touch screens.,WCAG 2.2
9,Touch,critical,Target spacing,Leave >=8px between adjacent targets,Pack interactive elements edge to edge,gap: 8px;,gap: 0;,Adjacent targets with no gap cause mistaps.,WCAG 2.2
10,Touch,important,Hover is not the only path,Expose actions without requiring hover,Hide primary actions behind hover only,.actions { opacity: 1; },.row:hover .actions { opacity: 1; } /* hidden otherwise */,Touch and keyboard users cannot hover to reveal actions.,WCAG 2.2
