id,kind,command,reference,query
viewport-meta,check,/siteasy adapt,skills/siteasy/references/responsive-design.md,
horizontal-overflow-375,check,/siteasy adapt,skills/siteasy/references/responsive-design.md,
img-dimensions,check,/seo images,skills/seo/references/images.md,
contrast-ratio,check,/siteasy tokens,skills/siteasy/references/color-and-contrast.md,
contrast-exempt-undeclared,check,/siteasy tokens,skills/siteasy/references/color-and-contrast.md,
html-lang,check,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
robots-disallow,check,/seo technical,skills/seo/references/technical.md,
title-tag,check,/seo page,skills/seo/references/page.md,
meta-description,check,/seo page,skills/seo/references/page.md,
heading-order,check,/seo page,skills/seo/references/page.md,
security-headers,check,/seo technical,skills/seo/references/technical.md,
canonical-url,check,/seo technical,skills/seo/references/technical.md,
invalid-dom-nesting,check,/inspect review,skills/inspect/references/review.md,
invalid-aria-attribute,check,/inspect review,skills/inspect/references/review.md,
charset-early,check,/seo technical,skills/seo/references/technical.md,
head-meta,check,/seo technical,skills/seo/references/head-meta.md,
subresource-integrity,check,/seo technical,skills/seo/references/technical.md,
open-redirect-param,check,/seo technical,skills/seo/references/technical.md,
cors-credentialed-wildcard,check,/seo technical,skills/seo/references/technical.md,
compression-enabled,check,/seo technical,skills/seo/references/technical.md,
server-fingerprint,check,/seo technical,skills/seo/references/technical.md,
session-cookie-flags,check,/seo technical,skills/seo/references/technical.md,
https-redirect,check,/seo technical,skills/seo/references/technical.md,
host-canonicalization,check,/seo technical,skills/seo/references/technical.md,
security-txt,check,/seo technical,skills/seo/references/technical.md,
video-embed-hygiene,check,/siteasy video,skills/siteasy/references/video.md,
motion-reduced-guard,check,/siteasy animate,skills/siteasy/references/animation-engineering.md,"node tools/search-references.mjs ""reduced motion"" --skill siteasy"
scrollbar-hidden,check,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
frame-sequence-preload,check,/siteasy parallax,skills/siteasy/references/parallax.md,
mixed-script-homoglyph,check,/siteasy clarify,skills/siteasy/references/clarify.md,
media-weight,check,/siteasy parallax,skills/siteasy/references/parallax.md,"python3 tools/design-system/scripts/search.py ""image optimizer"" --domain generators"
three-duplicate-copies,check,/siteasy overdrive,skills/siteasy/references/overdrive.md,
frame-loop-alloc,check,/siteasy overdrive,skills/siteasy/references/animation-engineering.md,
rule-1,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-2,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-3,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-4,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-5,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-6,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-7,rule,/siteasy audit,skills/siteasy/references/accessibility-engineering.md,
rule-8,rule,/siteasy mobile,skills/siteasy/references/mobile-ergonomics.md,
rule-9,rule,/siteasy mobile,skills/siteasy/references/mobile-ergonomics.md,
rule-10,rule,/siteasy mobile,skills/siteasy/references/mobile-ergonomics.md,
rule-11,rule,/siteasy harden,skills/siteasy/references/optimize.md,
rule-12,rule,/siteasy harden,skills/siteasy/references/optimize.md,
rule-13,rule,/siteasy harden,skills/siteasy/references/optimize.md,
rule-14,rule,/siteasy adapt,skills/siteasy/references/responsive-design.md,
rule-15,rule,/siteasy adapt,skills/siteasy/references/responsive-design.md,
rule-16,rule,/siteasy typeset,skills/siteasy/references/typeset.md,
rule-17,rule,/siteasy typeset,skills/siteasy/references/typeset.md,
rule-18,rule,/siteasy tokens,skills/siteasy/references/tokens.md,
rule-19,rule,/siteasy tokens,skills/siteasy/references/tokens.md,
rule-20,rule,/siteasy animate,skills/siteasy/references/animation-engineering.md,
rule-21,rule,/siteasy animate,skills/siteasy/references/animation-engineering.md,
rule-22,rule,/siteasy animate,skills/siteasy/references/animation-engineering.md,
