id,operator,kind,tier,robots_txt,ua_token,purpose,blocking_costs,source
GPTBot,OpenAI,training,2,respected,GPTBot,Crawls content for training generative AI foundation models,Training corpus inclusion only. Blocking does not remove a site from ChatGPT search answers.,https://developers.openai.com/api/docs/bots
OAI-SearchBot,OpenAI,search,1,respected,OAI-SearchBot,Surfaces websites in ChatGPT search features,ChatGPT search answers. A site opted out of OAI-SearchBot is not shown in them.,https://developers.openai.com/api/docs/bots
ChatGPT-User,OpenAI,user-triggered,1,not-applied,ChatGPT-User,Fetches a page when a ChatGPT user or a custom GPT action asks for it,"Live user-initiated retrieval. OpenAI states robots.txt rules may not apply because the action is user-initiated, so a robots.txt entry is not a reliable control here.",https://developers.openai.com/api/docs/bots
OAI-AdsBot,OpenAI,verification,3,unstated,OAI-AdsBot,Validates the safety of pages submitted as ads on ChatGPT,Ad submission review only. Data is not used for model training.,https://developers.openai.com/api/docs/bots
ClaudeBot,Anthropic,training,2,respected,ClaudeBot,Collects web content to improve the utility and safety of Anthropic models,"Training corpus inclusion. Blocking this alone does not remove Claude search citations, which run through Claude-SearchBot.",https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler
Claude-SearchBot,Anthropic,search,1,respected,Claude-SearchBot,Navigates the web to improve search result quality for Claude users,Claude search citations. This is the token that decides whether Claude can cite the site in search.,https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler
Claude-User,Anthropic,user-triggered,1,respected,Claude-User,Supports user-initiated web access when a Claude user asks for a page,"Live user-initiated retrieval. Anthropic documents that this fetcher honours robots.txt, unlike the equivalent fetchers at OpenAI and Perplexity.",https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler
anthropic-ai,Anthropic,legacy,3,respected,anthropic-ai,Legacy Anthropic robots.txt token kept in circulation by older configurations,Nothing current. Superseded by the three named Anthropic tokens.,https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler
PerplexityBot,Perplexity,search,1,respected,PerplexityBot,Surfaces and links websites in Perplexity search results,Perplexity search results and their citations.,https://docs.perplexity.ai/guides/bots
Perplexity-User,Perplexity,user-triggered,1,not-applied,Perplexity-User,Visits a page when a Perplexity user asks a question that needs it,"Live user-initiated retrieval. Perplexity documents that this fetcher generally ignores robots.txt, so a robots.txt entry does not control it.",https://docs.perplexity.ai/guides/bots
Googlebot,Google,search,1,respected,Googlebot,Crawls for Google Search and is the source that feeds AI Overviews,"Google Search itself, and with it AI Overviews. There is no separate opt-out for AI Overviews.",https://developers.google.com/search/docs/crawling-indexing/google-common-crawlers
Google-Extended,Google,control-token,2,respected,Google-Extended,"Not a crawler. Google documents that it has no separate HTTP user-agent string and that crawling is done with existing Google agents, the token being used in a control capacity only","Gemini training and grounding in AI applications. Google states it does not affect inclusion in Google Search nor act as a ranking signal, and it does not change crawl rate.",https://developers.google.com/search/docs/crawling-indexing/google-common-crawlers
GoogleOther,Google,misc,2,respected,GoogleOther,Generic crawler used by Google product teams for one-off crawls and internal research,"Nothing product-specific. Google states preferences addressed to this token do not affect any given product.",https://developers.google.com/search/docs/crawling-indexing/google-common-crawlers
Applebot,Apple,search,2,respected,Applebot,Crawls for Siri and Spotlight Suggestions,Apple search surfaces.,https://support.apple.com/en-us/119829
Applebot-Extended,Apple,control-token,2,respected,Applebot-Extended,Control token governing whether crawled content trains Apple foundation models,Apple model training only. It does not affect Applebot crawling for search.,https://support.apple.com/en-us/119829
Amazonbot,Amazon,search,2,respected,Amazonbot,Crawls to improve Alexa answers and Amazon AI features,Alexa answers and Amazon AI surfaces.,https://developer.amazon.com/amazonbot
Meta-ExternalAgent,Meta,training,3,respected,Meta-ExternalAgent,Crawls content for training and improving Meta AI products,Meta AI training corpus.,https://developers.facebook.com/docs/sharing/webmasters/web-crawlers
FacebookBot,Meta,misc,3,respected,FacebookBot,Crawls for Meta speech and language model improvement,Meta model improvement corpora.,https://developers.facebook.com/docs/sharing/webmasters/web-crawlers
Bytespider,ByteDance,training,3,contested,Bytespider,Crawls content for ByteDance model training,"Training corpus inclusion. Compliance with robots.txt has been publicly disputed, so treat a robots.txt entry as a request rather than a control.",https://www.bytespider.net
CCBot,Common Crawl,training,3,respected,CCBot,Builds the Common Crawl open corpus that many models train on downstream,"Common Crawl inclusion, and indirectly any model trained on it. No live search surface depends on it.",https://commoncrawl.org/ccbot
cohere-ai,Cohere,training,3,respected,cohere-ai,Crawls content for Cohere model training,Cohere training corpus.,https://cohere.com/
YouBot,You.com,search,3,respected,YouBot,Crawls to surface results in You.com search and answers,You.com results.,https://about.you.com/youbot/
