stage,category,tier,cost,use,name,url,status,notes
build,ui-graphics,more,free,"asset or tool, check per item",SVG sine waves,https://www.sinwaver.com,live,Export perfect sine waves as SVG for your front-end projects |
build,ui-graphics,more,free,"asset or tool, check per item",UI Design Daily,https://uidesigndaily.com,live,Awesome UI Components of all types |
build,ui-graphics,more,free,"asset or tool, check per item",100 Daily UI,https://100dailyui.webflow.io,live,"Free Figma library of products, elements, and screens |"
build,ui-graphics,more,free,"asset or tool, check per item",Sketch App Sources,https://www.sketchappsources.com,live,"Sketch UIs, wireframes, icons and much more |"
build,ui-graphics,more,free,"asset or tool, check per item",Humaaans,https://www.humaaans.com,live,Cool illustrations of people with the ability to mix and match |
build,ui-graphics,more,free,"asset or tool, check per item",Paaatterns,https://products.ls.graphics/paaatterns,live,Free collection of beautiful patterns for all vector formats |
build,ui-graphics,more,freemium,"asset or tool, check per item",Drawkit.io,https://www.drawkit.io,unverified,Illustrations for designers and startups |
build,ui-graphics,more,free,"asset or tool, check per item",Absurd.design,https://absurd.design,live,Free surrealist illustrations for designers and developers |
build,ui-graphics,more,free,"asset or tool, check per item",Undraw.co,https://undraw.co,live,Open-source illustrations for any idea you can imagine and create |
build,ui-graphics,more,free,"asset or tool, check per item",Manypixels.co,https://www.manypixels.co/gallery,live,"Monochromatic, Isometric high-quality illustrations |"
build,ui-graphics,more,free,"asset or tool, check per item",Open Peeps,https://www.openpeeps.com,live,Hand drawn illustration library |
build,ui-graphics,more,free,"asset or tool, check per item",InvisionApp,https://www.invisionapp.com/inside-design/design-resources,moved,"Library of free, high-quality UI kits, icon packs, and mockups |"
build,ui-graphics,more,free,"asset or tool, check per item",Open Doodles,https://www.opendoodles.com,live,A Free Set of Sketchy Illustrations |
build,ui-graphics,more,free,"asset or tool, check per item",Avataaars,https://avataaars.com,unverified,Free sketch library of avatars illustrations by Pablo Stanley |
build,ui-graphics,more,freemium,"asset or tool, check per item",Blush,https://blush.design,live,Free customizable illustrations with Figma Plugin |
build,ui-graphics,top,free,"asset or tool, check per item",Hero Patterns,http://www.heropatterns.com,live,A collection of repeatable SVG background patterns |
build,ui-graphics,more,free,"asset or tool, check per item",BEAUBUS Patterns,https://patterns.beaubus.com,live,A set of 150+ free SVG patterns (backgrounds) |
build,ui-graphics,more,free,"asset or tool, check per item",IRA Design,https://iradesign.io,live,An open-source gradient illustrations collection by creative tim. |
build,ui-graphics,top,free,"asset or tool, check per item",Transparent Textures,https://www.transparenttextures.com,live,A collection of transparent textures background patterns. |
build,ui-graphics,more,freemium,"asset or tool, check per item",icons8.com/illustrations,https://icons8.com/illustrations,live,Vector illustrations to class up your project |
build,ui-graphics,more,free,"asset or tool, check per item",Patternico,https://patternico.com,live,Seamless Pattern Maker |
build,ui-graphics,more,free,"asset or tool, check per item",Pixeltrue Illustrations,https://www.pixeltrue.com/illustrations,live,Free Animated Illustrations |
build,ui-graphics,more,free,"asset or tool, check per item",Abstract User Avatar API,https://www.abstractapi.com/user-avatar-api,live,API to create simple yet flexible user avatars from user names or emails |
build,ui-graphics,more,free,"asset or tool, check per item",sketchvalley,https://sketchvalley.com,live,"Download free PNG, SVG or AI file . |"
build,ui-graphics,more,free,"asset or tool, check per item",PatternPad,https://patternpad.com,live,Free and unlimited unique pattern designs. |
build,ui-graphics,more,free,"asset or tool, check per item",Dimensions,https://www.dimensions.com,live,Dimensions.com is an ongoing reference database of dimensioned drawings documenting the standard measurements and sizes 
build,ui-graphics,more,free,"asset or tool, check per item",Freebiesbug,https://freebiesbug.com,live,"Hand-picked resources for web designers and developers, constantly updated.|"
build,ui-graphics,more,free,"asset or tool, check per item",Flexiple,https://2.flexiple.com/scale/all-illustrations,moved,"One new high-quality, open-source illustration each day. |"
build,ui-graphics,more,free,"asset or tool, check per item",Cool Text,https://cooltext.com,live,Cool Text is a FREE graphics generator for web pages and anywhere else you need an impressive logo without a lot of desi
