name,url,focus,best_for,notes
Websitevice,https://websitevice.com/,professional website designs,scanning current layout conventions before concepting,free gallery
CSS Zen Garden,http://csszengarden.com/,one HTML page under 200+ CSS themes,proving how far styling alone can differentiate a design,long-standing reference
Behance,https://www.behance.net/,full design projects and case studies,studying complete brand systems end to end,Adobe portfolio network
Dribbble,https://dribbble.com/,designer shots and visual explorations,fast visual direction and style sampling,"shots, not full flows"
Landingfolio,https://landingfolio.com/,landing page designs and components,"benchmarking hero, pricing and CTA sections",includes templates
Foxyapps,https://foxyapps.co/,mobile app screen designs,mobile onboarding and flow ideas,small collection
Httpster,https://httpster.net/2020/apr/,current live websites,checking what working studios ship now,archive browsable by month
Land Book,https://land-book.com/,large website screenshot collection,broad sweep when a direction is still open,filter by type
Frontend Mentor,https://www.frontendmentor.io/,real-world UI coding challenges,practicing builds from professional designs,free and pro tiers
Awwwards,https://www.awwwards.com/,award-winning websites,studying high-craft motion and interaction,"jury-scored, heavy pages"
Codrops,https://tympanus.net/codrops/,UI experiments and patterns,finding a signature interaction worth owning,tutorials with source
SaaS Landing Page,https://saaslandingpage.com/,SaaS landing page examples,positioning and page structure for SaaS products,sorted by section
Saaspages.xyz,https://saaspages.xyz,landing page sections by goal,copywriting angles per section type,copy-focused
Screenlane,https://screenlane.com,web and mobile UI screens,pattern reference for common flows,newsletter format
lapa ninja,https://www.lapa.ninja/,landing page screenshots,fast landing page direction scans,updated regularly
Freefrontend,https://freefrontend.com/,"HTML, CSS, JS and Tailwind demos with source",seeing how an effect is actually built rather than how it looks,"read the technique, re-author it: third-party pens, licences vary and are often unstated. Sections: /css-code-examples/ /html-code-examples/ /javascript-code-examples/ /tailwind-code-examples/"
Webframe,https://webframe.xyz,web app screens,dashboard and product UI beyond marketing pages,web app focus
Collect UI,http://collectui.com/,daily UI challenge shots,micro-layout ideas for single components,indexed by category
Graphic Burger,https://graphicburger.com/,"icons, mockups and UI kits",mockup and asset sourcing during concepting,mixed free and paid
Really Good Emails,https://reallygoodemails.com/,production email designs,email templates and lifecycle messaging reference,searchable archive
Free Design Resource,https://freedesignresources.net/,"fonts, mockups, templates and UI kits",free asset sourcing for moodboards,check per-item licences
Site Inspire,https://www.siteinspire.com/,selected web and interactive design,refined editorial and typographic direction,filter by style and subject
Web Design Inspiration,https://www.webdesign-inspiration.com/,website gallery updated daily,broad browsing across industries,category filters
NavNav,https://navnav.co/,navigation patterns,"header, menu and nav interaction ideas",responsive examples
Calltoidea,https://www.calltoidea.com/,web components by pattern,one-pattern deep dives such as pricing or login,component-scoped
Muzli Search,https://search.muz.li,design inspiration search engine,targeted keyword searches across sources,by Muzli
DeviantArt,https://www.deviantart.com/,community art archive,illustration styles and non-web visual directions,very large archive
Design your way,https://www.designyourway.net/blog/web-and-mobile-design/,web and mobile design roundups,themed collections around one style or industry,article format
SiteSee,https://sitesee.co/,modern website gallery,compact sweep of current sites,small and selective
UI Garage,https://uigarage.net/,handpicked UI patterns,screen-level patterns for web and mobile,tagged by platform
ecomm.design,https://ecomm.design/,e-commerce site designs,store layout and product page reference,lists the tech stack
Design Nominees,https://www.designnominees.com/,"awarded sites, apps and games",scanning awarded work beyond websites,awards format
Design Vault,https://designvault.io/,patterns from shipped products,"real product UI flows, not concept shots",screenshot library
CSS buttons,https://getcssscan.com/css-buttons-examples,CSS button examples,button styling with copyable code,from CSS Scan
CSS box-shadow,https://getcssscan.com/css-box-shadow-examples,CSS box-shadow examples,elevation and shadow language with code,from CSS Scan
Super Designer,https://superdesigner.co,generator-made patterns and shapes,producing background assets during exploration,"tools, not a gallery"
Landings,https://landings.dev,landing page gallery,filtered landing page reference,preference filters
Page Collective,https://pagecollective.com/,landing page designs,fast landing page sweeps,part of a gallery network
Curated,https://www.curated.design/,unconventional web design,breaking out of template-shaped layouts,editor picked
Maxibestofone,https://maxibestof.one/,daily site and font picks,pairing typography with layout direction,daily feed
Bento Grids,https://bentogrids.com/,bento-style tile layouts,summary and feature grid composition ideas,single-pattern focus
Landing Gallery,https://www.landing.gallery/,landing page designs,landing structure benchmarks,gallery only
a-fresh.website,https://a-fresh.website,hand-picked sites and components,fresh component-level references,small library
bestwebdesigntools,https://www.bestwebdesigntools.com/,"tools, agencies and templates",discovering adjacent tools during research,directory format
App Motion,https://appmotion.design/,app motion design clips,motion timing and choreography references,video-based
Uiland Design,https://uiland.design/,mobile UI from product companies,mobile screens from established apps,company-sourced
A1 Gallery,https://www.a1.gallery,"1,000+ sites with deep filters","matching references by stack, font or color",filter-rich
Zentry,https://zentry.com,award-winning product site,studying the irregular clip-path hero and 3D word-reveal grammar,"heavy media, brand fonts"
SPYLT,https://www.spylt.com,award-winning brand site,studying slit reveals and pinned video-circle choreography,video-heavy
Musab Hassan,https://musabhassan.com,awarded personal portfolio,studying a velocity-driven WebGL signature over a full DOM fallback,MPL-2.0 source on GitHub
Nicola Rennie scrollytelling,https://nrennie.rbind.io/scrollytelling/,data-viz scrollytelling,studying one-change-per-step chart narration and chart accessibility,desktop-first
